id,original_title,title,bag_of_words
623,Rio Bravo,Rio Bravo,Western English Español WarnerBros. JohnWayne DeanMartin RickyNelson WalterBrennan AngieDickinson WardBond JohnRussell B.H.McCampbell JulesFurthman LeighBrackett HowardHawks sheriff smalltown gun marshal deputy murder jail stagecoach gambler cripple gunfighter twogunsbelt 
624,Point Break,Point Break,Action Thriller Crime English 20thCenturyFox LargoEntertainment JVCEntertainmentNetworks PatrickSwayze KeanuReeves GaryBusey LoriPetty JohnC.McGinley JamesLeGros JohnPhilbin KathrynBigelow W.PeterIliff surfer undercover wave surfboard self-destruction self-discovery parachute policeoperation parachuting moralconflict losangeles fbiagent womandirector 
625,Gentlemen Prefer Blondes,Gentlemen Prefer Blondes,Comedy Romance Français English TwentiethCenturyFoxFilmCorporation JaneRussell MarilynMonroe CharlesCoburn ElliottReid TommyNoonan GeorgeWinslow MarcelDalio CharlesLederer HowardHawks AnitaLoos JosephFields paris fathersonrelationship robbery diamant revuegirls doublewedding musical jewelry millionaire 
626,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,Adventure Fantasy Action Thriller English ParamountPictures Toho-Towa MutualFilmCompany LawrenceGordonProductions BritishBroadcastingCorporation(BBC) Marubeni EidosInteractive AngelinaJolie JonVoight IainGlen NoahTaylor DanielCraig RichardJohnson ChrisBarrie MikeWerb MichaelColleary SimonWest PatrickMassett JohnZinman SaraB.Cooper treasure buddhistmonk planetaryconfiguration angkorwat illuminati williamblake treasurehunt archaeologist basedonvideogame archeology  
627,Kiss of the Dragon,Kiss of the Dragon,Action Crime Thriller English Français 普通话 TwentiethCenturyFoxFilmCorporation CurrentEntertainment ImmortalEntertainment Canal+ EuropaCorp QualityGrowthInternationalLtd. JetLi BridgetFonda TchékyKaryo MaxRyan RicYoung BurtKwouk LaurenceAshley ChrisNahon LucBesson RobertMarkKamen paris prostitute drug 
628,Scary Movie 2,Scary Movie 2,Comedy English Gold/MillerProductions WayansBros.Entertainment DimensionFilms BradGreyPictures AnnaFaris MarlonWayans JamesDeBello ShawnWayans DavidCross ChristopherMasterson ReginaHall MarlonWayans MarlonWayans KeenenIvoryWayans ShawnWayans ShawnWayans BuddyJohnson PhilBeauman JasonFriedberg AaronSeltzer AlysonFouse GregGrabianski DavePolsky MichaelAnthonySnowden CraigWayans sex exorcism secretdoor 
629,Baise-moi,Baise-moi,Crime Drama Romance Thriller Français ToutePremiereFois Canal+ TakeOneProductions PanEuropéenneProductions KarenLancaume RaffaëlaAnderson OuassiniEmbarek AdamaNiane MarcBarrow PatrickEudeline IanScott VirginieDespentes VirginieDespentes VirginieDespentes Coralie Coralie france rape women'ssexualidentity revenge murder independentfilm unsimulatedsex crime violence explicitsex womandirector newfrenchextremism 
630,Der letzte Mann,The Last Laugh,Drama NoLanguage UniversumFilm(UFA) EmilJannings MalyDelschaft MaxHiller HansUnterkircher HermannVallentin EmilieKurz GeorgJohn F.W.Murnau CarlMayer hotel rain uniform inheritance cigarsmoking gossip silentfilm imagery noisyneighbor biblequote tip porter 
631,Il giardino dei Finzi Contini,The Garden of the Finzi-Continis,Drama Italiano DocumentoFilm CCC-Filmkunst DominiqueSanda FabioTesti LinoCapolicchio RomoloValli HelmutBerger BarbaraPilavin CamilloCesarei VittorioDeSica GiorgioBassani VittorioBonicelli UgoPirro worldwarii deportation jewpersecution 
632,Obsession,Obsession,Drama Thriller Mystery English ColumbiaPicturesCorporation YellowbirdProductions CliffRobertson GenevièveBujold JohnLithgow SylviaKuumbaWilliams WandaBlackman J.PatrickMcNamara StanleyJ.Reyes BrianDePalma PaulSchrader BrianDePalma moneydelivery senseofguilt ransom disappointment falseidentity florence artrestoration 
633,Final Fantasy: The Spirits Within,Final Fantasy: The Spirits Within,Adventure Action Animation Fantasy ScienceFiction Thriller English ColumbiaPictures SquareUSA ChrisLeeProductions DonaldSutherland Ming-NaWen AlecBaldwin VingRhames SteveBuscemi PeriGilpin JamesWoods HironobuSakaguchi MotonoriSakakibara AlReinert JeffVintar JackFletcher RaminMebdy battleassignment dystopia alien downfall scientist basedonvideogame 
634,Legally Blonde,Legally Blonde,Comedy English MarcPlattProductions Metro-Goldwyn-Mayer(MGM) ReeseWitherspoon LukeWilson SelmaBlair MatthewDavis VictorGarber JenniferCoolidge HollandTaylor RobertLuketic AmandaBrown KirstenSmith KarenMcCullahLutz harvardlawschool blackfemalejudge smartblonde girlpower 
635,Apartment Zero,Apartment Zero,Thriller Horror Drama English HartBochner ColinFirth DoraBryan LizSmith MirellaD'Angelo JamesTelfer FabrizioBentivoglio MartinDonovan MartinDonovan cia dragqueen cat flat distrust cohabitant hitman buenosaires missionofmurder malefriendship filmandcinema boarder filmhistory neighbor cowardliness 
636,Ariel,Ariel,Drama Crime suomi Deutsch VillealfaFilmproductionOy FinnishFilmFoundation TuroPajala SusannaHaavisto MattiPellonpää EetuHilkamo AkiKaurismäki AkiKaurismäki underdog prison factoryworker prisoner helsinki independentfilm fallinginlove 
637,Critters,Critters,Action Comedy Horror ScienceFiction Thriller English NewLineCinema SmartEggPictures ShoFilms DeeWallace M.EmmetWalsh BillyZane ScottGrimes LinShaye EthanPhillips DonKeithOpper StephenHerek StephenHerek DomonicMuir DomonicMuir sheriff bountyhunter cat brothersisterrelationship smalltown barn toilet kansas spaceship alien creature explosion family explodinghouse brothersister  alienfugitive aliencreature 
638,The Great Outdoors,The Great Outdoors,Comedy English UniversalPictures HughesEntertainment JohnCandy DanAykroyd AnnetteBening StephanieFaracy ChrisYoung IanGiatti HilaryGordon JohnHughes HowardDeutch holiday roommate attachmenttonature grizzlybear bestfriend 
639,Out of Rosenheim,Bagdad Cafe,Comedy Drama Deutsch English Pro-jectFilmproduktion MarianneSägebrecht CCHPounder JackPalance ChristineKaufmann MonicaCalhoun DarronFlagg GeorgeAguilar PercyAdlon EleonoreAdlon PercyAdlon ChristopherDoherty nevada motel highway wilderness rosenheim car 
640,Short Circuit,Short Circuit,Comedy Family ScienceFiction English PSOInternational DavidFosterProductions TriStarPictures AllySheedy SteveGuttenberg FisherStevens AustinPendleton G.W.Bailey BrianMcNamara TimBlaney JohnBadham BrentMaddock S.S.Wilson artificialintelligence lightning robot 
641,They Live,They Live,Action Horror ScienceFiction Thriller English UniversalPictures AliveFilms LarryFrancoProductions RoddyPiper KeithDavid MegFoster GeorgeBuckFlower PeterJason RaymondSt.Jacques JasonRobardsIII JohnCarpenter RayNelson JohnCarpenter dystopia socialcommentary alieninvasion sunglasses brawl 
642,Bill & Ted's Excellent Adventure,Bill & Ted's Excellent Adventure,Adventure Comedy ScienceFiction English Français Deutsch ελληνικά OrionPictures KeanuReeves AlexWinter GeorgeCarlin DanShor HalLandonJr. AmyStock-Poynton TerryCamilleri EdSolomon StephenHerek ChrisMatheson jealousy journeyinthepast sigmundfreud timetravel heavymetal socrates billythekid schoolpresentation rhinoceros phonebooth worldpeace past history metal bestfriend napoleonbonaparte 
643,Black Rain,Black Rain,Action Thriller Crime English 日本語 ParamountPictures PegasusFilmPartners Jaffe-Lansing MichaelDouglas AndyGarcía KateCapshaw ShigeruKôyama JohnSpencer KenTakakura YûsakuMatsuda CraigBolotin WarrenLewis RidleyScott japan yakuza japanesemafia 
644,Gleaming the Cube,Gleaming the Cube,Drama English TwentiethCenturyFoxFilmCorporation ChristianSlater TonyHawk StacyPeralta RodneyMullen PeterKwong StevenBauer RichardHerd GraemeClifford MichaelTolkin skateboarding losangeles skateboard 
645,Johnny Handsome,Johnny Handsome,Crime Drama English Français Guber/PetersCompany RovenProductions CarolcoPictures MickeyRourke EllenBarkin MorganFreeman ForestWhitaker ElizabethMcGovern LanceHenriksen ScottWilson WalterHill JohnGodey KenFriedman individual prison robbery ex-detainee operation restart neworleans ugliness mask newidentity plasticsurgery 
646,Millennium,Millennium,Mystery Drama ScienceFiction Thriller English GladdenEntertainment FirstMilleniumPartnership KrisKristofferson CherylLadd DanielJ.Travanti RobertJoy LloydBochner BrentCarver DavidMcIlwraith MichaelAnderson JohnVarley JohnVarley airport timewarp future airplane timetravel alien independentfilm disaster airplanecrash crash robot scientist paradox investigator basedonshortstory solesurvivor canuxploitation 
647,Jurassic Park III,Jurassic Park III,Adventure Action Thriller ScienceFiction English Español UniversalStudios AmblinEntertainment SamNeill WilliamH.Macy TéaLeoni TrevorMorgan AlessandroNivola MichaelJeter JohnDiehl JoeJohnston MichaelCrichton PeterBuchman AlexanderPayne JimTaylor RodolfoDamaggio exoticisland dna paleontology tyrannosaurusrex velociraptor spinosaurus airplane rescue mission dinosaur jurassicpark 
648,Brother,Brother,Crime Drama Thriller English Italiano 日本語 Español BandaiVisualCompany OfficeKitano TokyoFMBroadcastingCo. RecordedPictureCompany(RPC) FuzzyBunnyFilms(I) LittleBrotherInc. TakeshiKitano OmarEpps ClaudeMaki SusumuTerajima MasayaKato RoyaleWatkins LombardoBoyar TakeshiKitano TakeshiKitano brotherbrotherrelationship assassination cultureclash warondrugs yakuza sake loyalty drugdealer femmefatale losangeles 
649,Pane e Tulipani,Bread and Tulips,Drama Comedy Romance Italiano IstitutoLuce LiciaMaglietta BrunoGanz GiuseppeBattiston AntonioCatania MarinaMassironi FeliceAndreasi VitalbaAndrea SilvioSoldini SilvioSoldini DorianaLeondeff venice suicide dancing mother depression wifehusbandrelationship amateurdetective trip marriedcouple tango pescara busride accordion florist flowershop plumbingsupplier roadhouse family'sdailylife motherrole oddball mystic self-discovery mother-in-law marriagecrisis marriage freedom littleboy familyholiday hitchhike 
650,Wet Hot American Summer,Wet Hot American Summer,Comedy English EurekaPictures JaneaneGarofalo DavidHydePierce MichaelShowalter MargueriteMoreau PaulRudd ZakOrth ChristopherMeloni DavidWain DavidWain MichaelShowalter adolescence summercamp independentfilm 
651,Turner & Hooch,Turner & Hooch,Action Comedy Thriller Crime Family English SilverScreenPartnersIII TouchstonePictures TomHanks MareWinningham CraigT.Nelson ScottPaulin JohnMcIntire DavidKnell ReginaldVelJohnson RogerSpottiswoode DennisShryack MichaelBlodgett eatingnonfood petfood 
652,Uncle Buck,Uncle Buck,Comedy Drama Family English UniversalPictures HughesEntertainment JohnCandy JeanLouisaKelly MacaulayCulkin GabyHoffmann AmyMadigan ElaineBromka GarrettM.Brown JohnHughes JohnHughes babysitter backfire attitude tire streetwise dragnet crazyuncle aftercreditsstinger childcare 
653,The War of the Roses,The War of the Roses,Comedy Drama Thriller English GracieFilms TwentiethCenturyFoxFilmCorporation KathleenTurner MichaelDouglas DannyDeVito MarianneSägebrecht DanCastellaneta SeanAstin HeatherFairfield DannyDeVito MichaelJ.Leeson WarrenAdler gymnastics candelabrum cat lawyer dog 
654,The Cotton Club,The Cotton Club,Music Drama Crime Romance English Italiano OrionPictures PSOInternational TotallyIndependent RichardGere GregoryHines DianeLane LonetteMcKee BobHoskins JamesRemar NicolasCage FrancisFordCoppola FrancisFordCoppola WilliamKennedy JimHaskins jazz jazzmusician musical mafia 
655,La Cage aux folles,La Cage aux folles,Comedy Français UnitedArtists LesProductionsArtistesAssociés DaMaProduzione UgoTognazzi MichelSerrault ClaireMaurier RémiLaurent CarmenScarpitta BennyLuke LuisaManeri JeanPoiret JeanPoiret ÉdouardMolinaro ÉdouardMolinaro FrancisVeber MarcelloDanon gay dragqueen 1970s cabaret 
656,L'Enfant sauvage,The Wild Child,Drama Français LesFilmsduCarrosse LesProductionsArtistesAssociés LesArtistesAssociés Jean-PierreCargol FrançoisTruffaut FrançoiseSeigner JeanDasté AnnieMiller ClaudeMiller PaulVillé FrançoisTruffaut FrançoisTruffaut JeanGruault JeanItard humanexperimentation feralchild punishment doctor reward tantrum wildchild 18thcentury learning signlanguage 
657,American Pie 2,American Pie 2,Comedy Romance English UniversalPictures Liveplanet Zide-PerryProductions JasonBiggs ThomasIanNicholas ChrisKlein SeannWilliamScott EddieKayeThomas ShannonElizabeth AlysonHannigan J.B.Rogers AdamHerz DavidH.Steinberg sex party summer beachhouse groupoffriends grossoutcomedy tantra mistakenforaspecialeducationstudent superglue sexcomedy 
658,The Others,The Others,Horror Drama Mystery Thriller Français English Cruise/WagnerProductions CanalPlus Sogecine LasProduccionesdelEscorpion LuckyRed DimensionFilms Miramax NicoleKidman ChristopherEccleston AlakinaMann JamesBentley EricSykes ElaineCassidy RenéeAsherson AlejandroAmenábar AlejandroAmenábar NataliaMontes nanny hauntedhouse channelislands parallelworld photosensitivity spiritism 
659,Captain Corelli's Mandolin,Captain Corelli's Mandolin,Drama History Romance English Deutsch ελληνικά Italiano MiramaxFilms UniversalPictures NicolasCage PenélopeCruz JohnHurt ChristianBale IrenePapas GerasimosSkiadaressis AspasiaKralli ShawnSlovo JohnMadden LouisdeBernières officer greekisland mandolin italiansoldier resistancefighter greekhistory italianarmy alliedforces 
660,The Curse of the Jade Scorpion,The Curse of the Jade Scorpion,Comedy Crime Mystery Romance Thriller English Polski DreamWorksSKG GravierProductions DanAykroyd HelenHunt WoodyAllen CharlizeTheron DavidOgdenStiers BrianMarkinson JohnTormey WoodyAllen WoodyAllen hypnosis independentfilm 
661,Jay and Silent Bob Strike Back,Jay and Silent Bob Strike Back,Comedy English DimensionFilms ViewAskewProductions Miramax KevinSmith JasonMewes BenAffleck JeffAnderson BrianO'Halloran ShannonElizabeth ElizaDushku KevinSmith KevinSmith KevinSmith ScottMosier filmmaking jayandsilentbob selfmocking characterissubjectofcomic referencetoprincevaliant indianajonesspoofscene monkeyactor viewaskew gigantichand animalexperimentation 
662,Tillsammans,Together,Drama Comedy Romance svenska NordiskFilm MemfisFilm KeyFilms LisaLindgren MichaelNyqvist EmmaSamuelsson SamKessel GustafHammarsten AnjaLundkvist JessicaLiedberg LukasMoodysson LukasMoodysson hippie sweden 1970s roommate ideology socialism feminism commune pacifism utopia single alcoholic anti-authoritarian 
663,The Hunter,The Hunter,Action Drama Thriller English ParamountPictures RastarPictures SteveMcQueen EliWallach KathrynHarrold LeVarBurton BenJohnson RichardVenture TraceyWalter TedLeighton PeterHyams BuzzKulik bountyhunter 
664,The Glass House,The Glass House,Drama Thriller Español English OriginalFilm LeeleeSobieski DianeLane StellanSkarsgård BruceDern KathyBaker TrevorMorgan ChrisNoth DanielSackheim WesleyStrick GabrielHardman california brothersisterrelationship lossofparents suspense psychologicalthriller orphan caraccident 
665,Training Day,Training Day,Action Crime Drama Thriller English Pусский Español 한국어/조선말 VillageRoadshowPictures NPVEntertainment WarnerBros. OutlawProductions(I) WVFilmsII DenzelWashington EthanHawke ScottGlenn TomBerenger HarrisYulin CliffCurtis SnoopDogg DavidAyer AntoineFuqua policebrutality warondrugs drugtraffic drugdealer losangeles gangmember mexicanamerican barrio cholo 
666,Pocketful of Miracles,Pocketful of Miracles,Comedy Drama English Español FrantonProduction GlennFord BetteDavis HopeLange ArthurO'Connell PeterFalk ThomasMitchell EdwardEverettHorton FrankCapra HalKanter HarryTugend RobertRiskin DamonRunyon dude prohibition deception newyorkcity apple luck dowager highsociety 1930s 
667,The Vanishing,The Vanishing,Thriller Drama Mystery English TwentiethCenturyFoxFilmCorporation KieferSutherland JeffBridges NancyTravis SandraBullock ParkOverall MaggieLinderman LisaEichhorn GeorgeSluizer ToddGraff buriedalive 
